<PAD>	1000000000
<UNK>	1000000000
<S>	1000000000
</S>	1000000000
I	82
you	77
to	72
a	55
the	52
You	40
me	28
that	27
and	26
of	26
with	25
it	23
my	21
go	21
know	20
do	18
out	18
not	18
like	18
your	17
in	15
is	15
on	15
just	15
this	14
for	14
was	14
get	14
don't	13
have	13
her	13
I'm	12
but	11
be	11
And	11
he	11
The	11
What	10
You're	10
are	10
we	10
think	10
up	10
what	10
No	9
one	9
him	9
say	8
at	8
So	8
want	8
thought	8
It's	8
had	7
about	7
all	7
never	7
she	7
can't	7
if	7
got	7
Bianca	7
He	7
Daddy	7
even	7
were	7
some	6
could	6
when	6
school	6
I'd	6
Joey	6
people	6
you're	6
Yeah	6
right	6
where	5
She	5
good	5
always	5
that's	5
did	5
party	5
sister	5
going	5
someone	5
then	5
start	5
mind	5
here	5
'	5
didn't	5
But	5
tell	5
so	5
there	5
big	5
who	5
life	4
Then	4
wanted	4
guy	4
really	4
date	4
Where	4
Forget	4
How	4
does	4
Kat	4
Hey	4
That's	4
let	4
own	4
because	4
doing	4
told	4
need	4
normal	4
see	4
Why	4
Oh	4
yourself	4
Do	4
from	4
their	4
Don't	4
off	4
by	3
They	3
okay	3
Like	3
She's	3
wanna	3
Not	3
use	3
sweet	3
Well	3
how	3
point	3
head	3
This	3
only	3
or	3
something	3
Dorsey	3
Is	3
can	3
it's	3
last	3
night	3
else	3
said	3
went	3
s	3
hate	3
sit	3
any	3
talk	3
completely	3
you've	3
heard	3
Who	3
Because	3
won't	3
It	3
Can	3
minute	3
expect	3
an	3
ask	3
part	3
his	3
Sure	3
he's	3
matter	3
seen	3
actually	3
they	3
you'll	3
would	3
William	3
Sarah	3
Lawrence	3
show	3
What's	3
When	3
lie	3
My	3
Gallo	2
beautiful	2
wearing	2
stuff	2
God	2
story	2
looked	2
Have	2
Hi	2
two	2
ever	2
there's	2
might	2
French	2
much	2
find	2
high	2
Cameron	2
Okay	2
Night	2
home	2
give	2
dating	2
deal	2
doesn't	2
class	2
make	2
everyone	2
Just	2
wasn't	2
pissed	2
Now	2
care	2
Listen	2
act	2
