<PAD>	1000000000
<UNK>	1000000000
<S>	1000000000
</S>	1000000000
I	102
you	79
a	66
to	63
the	56
me	37
You	28
that	28
of	27
I'm	25
know	22
and	21
it	21
go	19
for	19
have	19
out	18
her	18
your	18
with	17
not	16
you're	16
don't	16
like	16
my	15
in	14
is	14
just	14
on	14
do	13
this	13
up	13
want	13
No	12
be	12
think	12
get	11
we	11
what	11
So	11
What	11
got	10
It's	10
And	9
sister	9
but	9
so	8
an	8
Who	8
one	8
Why	8
at	8
date	8
'	8
going	8
never	8
The	7
But	7
was	7
she	7
A	7
That's	7
he's	7
girl	7
need	6
Then	6
I've	6
him	6
something	6
You're	6
He	6
had	6
Oh	6
If	5
no	5
doesn't	5
My	5
can't	5
are	5
if	5
he	5
party	5
about	5
I'll	5
then	5
did	5
guess	5
Just	5
really	5
could	5
let	5
Daddy	5
Yeah	5
night	5
been	5
Bianca	5
take	5
some	4
Okay	4
This	4
look	4
say	4
guy	4
sure	4
How	4
little	4
thing	4
didn't	4
make	4
prom	4
supposed	4
thought	4
when	4
next	4
or	4
tell	4
t	4
Like	4
right	4
now	4
over	4
way	4
Because	4
them	4
there	4
She	4
Verona	4
by	3
gonna	3
how	3
kidding	3
you'd	3
good	3
any	3
ever	3
dating	3
it's	3
can	3
Cameron	3
until	3
What's	3
only	3
guys	3
actually	3
mean	3
all	3
Joey	3
year	3
Is	3
completely	3
away	3
own	3
hate	3
from	3
boyfriend	3
since	3
should	3
too	3
End	3
That	3
has	3
won't	3
knew	3
isn't	3
were	3
Gigglepuss	3
back	3
Are	3
everyone	3
man	3
new	3
always	3
're	3
would	3
school	3
doing	3
down	3
told	3
life	2
Gallo	2
With	2
us	2
where	2
lie	2
real	2
figured	2
stuff	2
myself	2
crap	2
says	2
extra	2
Well	2
things	2
huh	2
knows	2
heard	2
she'd	2
before	2
found	2
Sure	2
hair	2
As	2
gentleman	2
mind	2
plan	2
because	2
nice	2
does	2
Not	2
Can	2
sophomore	2
twenty	2
we're	2
ones	2
he'd	2
different	2
great	2
conversation	2
might	2
Did	2
talk	2
Hi	2
that's	2
